Attribute,Description,Value,Meaning
KBA13_KW_120,share of cars with an engine power between 111 and 120 KW - PLZ8,5,very high
KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,-1,unknown
KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,0,none
KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,1,very low
KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,2,low
KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,3,average
KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,4,high
KBA13_KW_121,share of cars with an engine power more than 120 KW - PLZ8,5,very high
KBA13_MAZDA,share of MAZDA within the PLZ8,-1,unknown
KBA13_MAZDA,share of MAZDA within the PLZ8,0,none
KBA13_MAZDA,share of MAZDA within the PLZ8,1,very low
KBA13_MAZDA,share of MAZDA within the PLZ8,2,low
KBA13_MAZDA,share of MAZDA within the PLZ8,3,average
KBA13_MAZDA,share of MAZDA within the PLZ8,4,high
KBA13_MAZDA,share of MAZDA within the PLZ8,5,very high
KBA13_MERCEDES,share of MERCEDES within the PLZ8,-1,unknown
KBA13_MERCEDES,share of MERCEDES within the PLZ8,0,none
KBA13_MERCEDES,share of MERCEDES within the PLZ8,1,very low
KBA13_MERCEDES,share of MERCEDES within the PLZ8,2,low
KBA13_MERCEDES,share of MERCEDES within the PLZ8,3,average
KBA13_MERCEDES,share of MERCEDES within the PLZ8,4,high
KBA13_MERCEDES,share of MERCEDES within the PLZ8,5,very high
KBA13_MOTOR,most common motor size within the PLZ8,-1,unknown
KBA13_MOTOR,most common motor size within the PLZ8,0,none
KBA13_MOTOR,most common motor size within the PLZ8,1,mainly small engines
KBA13_MOTOR,most common motor size within the PLZ8,2,mainly medium sized engines
KBA13_MOTOR,most common motor size within the PLZ8,3,mainly high engines
KBA13_MOTOR,most common motor size within the PLZ8,4,mainly very big engines
KBA13_NISSAN,share of NISSAN within the PLZ8,-1,unknown
KBA13_NISSAN,share of NISSAN within the PLZ8,0,none
KBA13_NISSAN,share of NISSAN within the PLZ8,1,very low
KBA13_NISSAN,share of NISSAN within the PLZ8,2,low
KBA13_NISSAN,share of NISSAN within the PLZ8,3,average
KBA13_NISSAN,share of NISSAN within the PLZ8,4,high
KBA13_NISSAN,share of NISSAN within the PLZ8,5,very high
KBA13_OPEL,share of OPEL within the PLZ8,-1,unknown
KBA13_OPEL,share of OPEL within the PLZ8,0,none
KBA13_OPEL,share of OPEL within the PLZ8,1,very low
KBA13_OPEL,share of OPEL within the PLZ8,2,low
KBA13_OPEL,share of OPEL within the PLZ8,3,average
KBA13_OPEL,share of OPEL within the PLZ8,4,high
KBA13_OPEL,share of OPEL within the PLZ8,5,very high
KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,-1,unknown
KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,0,none
KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,1,very low
KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,2,low
KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,3,average
KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,4,high
KBA13_PEUGEOT,share of PEUGEOT within the PLZ8,5,very high
KBA13_RENAULT,share of RENAULT within the PLZ8,-1,unknown
KBA13_RENAULT,share of RENAULT within the PLZ8,0,none
KBA13_RENAULT,share of RENAULT within the PLZ8,1,very low
KBA13_RENAULT,share of RENAULT within the PLZ8,2,low
KBA13_RENAULT,share of RENAULT within the PLZ8,3,average
KBA13_RENAULT,share of RENAULT within the PLZ8,4,high
KBA13_RENAULT,share of RENAULT within the PLZ8,5,very high
KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,-1,unknown
KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,0,none
KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,1,very low
KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,2,low
KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,3,average
KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,4,high
KBA13_SEG_GELAENDEWAGEN,share of allterrain within the PLZ8,5,very high
KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,-1,unknown
KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,0,none
KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,1,very low
KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,2,low
KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,3,average
KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,4,high
KBA13_SEG_GROSSRAUMVANS,share of big sized vans within the PLZ8,5,very high
KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,-1,unknown
KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,0,none
KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,1,very low
KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,2,low
KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,3,average
KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,4,high
KBA13_SEG_KLEINST,share of very small cars (Ford Ka etc.) in the PLZ8,5,very high
KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",-1,unknown
KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",0,none
KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",1,very low
KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",2,low
KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",3,average
KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",4,high
KBA13_SEG_KLEINWAGEN,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the PLZ8",5,very high
KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,-1,unknown
KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,0,none
KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,1,very low
KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,2,low
KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,3,average
KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,4,high
KBA13_SEG_KOMPAKTKLASSE,share of lowe midclass cars (Ford Focus etc.) in the PLZ8,5,very high
KBA13_SEG_MINIVANS,share of minivans within the PLZ8,-1,unknown
KBA13_SEG_MINIVANS,share of minivans within the PLZ8,0,none
KBA13_SEG_MINIVANS,share of minivans within the PLZ8,1,very low
KBA13_SEG_MINIVANS,share of minivans within the PLZ8,2,low
KBA13_SEG_MINIVANS,share of minivans within the PLZ8,3,average
KBA13_SEG_MINIVANS,share of minivans within the PLZ8,4,high
KBA13_SEG_MINIVANS,share of minivans within the PLZ8,5,very high
KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,-1,unknown
KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,0,none
KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,1,very low
KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,2,low
KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,3,average
KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,4,high
KBA13_SEG_MINIWAGEN,share of minicars within the PLZ8,5,very high
KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,-1,unknown
KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,0,none
KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,1,very low
KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,2,low
KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,3,average
KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,4,high
KBA13_SEG_MITTELKLASSE,share of middle class cars (Ford Mondeo etc.) in the PLZ8,5,very high
KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",-1,unknown
KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",0,none
KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",1,very low
KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",2,low
KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",3,average
KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",4,high
KBA13_SEG_OBEREMITTELKLASSE,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",5,very high
KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,-1,unknown
KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,0,none
KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,1,very low
KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,2,low
KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,3,average
KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,4,high
KBA13_SEG_OBERKLASSE,share of upper class cars (BMW 7er etc.) in the PLZ8,5,very high
KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,-1,unknown
KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,0,none
KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,1,very low
KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,2,low
KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,3,average
KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,4,high
KBA13_SEG_SONSTIGE,share of other cars within the PLZ8,5,very high
KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,-1,unknown
KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,0,none
KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,1,very low
KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,2,low
KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,3,average
KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,4,high
KBA13_SEG_SPORTWAGEN,share of sportscars within the PLZ8,5,very high
KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,-1,unknown
KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,0,none
KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,1,very low
KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,2,low
KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,3,average
KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,4,high
KBA13_SEG_UTILITIES,share of MUVs/SUVs within the PLZ8,5,very high
KBA13_SEG_VAN,share of vans within the PLZ8,-1,unknown
KBA13_SEG_VAN,share of vans within the PLZ8,0,none
KBA13_SEG_VAN,share of vans within the PLZ8,1,very low
KBA13_SEG_VAN,share of vans within the PLZ8,2,low
KBA13_SEG_VAN,share of vans within the PLZ8,3,average
KBA13_SEG_VAN,share of vans within the PLZ8,4,high
KBA13_SEG_VAN,share of vans within the PLZ8,5,very high
KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,-1,unknown
KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,0,none
KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,1,very low
KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,2,low
KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,3,average
KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,4,high
KBA13_SEG_WOHNMOBILE,share of roadmobiles within the PLZ8,5,very high
KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,-1,unknown
KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,0,none
KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,1,very low
KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,2,low
KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,3,average
KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,4,high
KBA13_SITZE_4,number of cars with less than 5 seats in the PLZ8,5,very high
KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,-1,unknown
KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,0,none
KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,1,very low
KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,2,low
KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,3,average
KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,4,high
KBA13_SITZE_5,number of cars with 5 seats in the PLZ8,5,very high
KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,-1,unknown
KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,0,none
KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,1,very low
KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,2,low
KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,3,average
KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,4,high
KBA13_SITZE_6,number of cars with more than 5 seats in the PLZ8,5,very high
KBA13_TOYOTA,share of TOYOTA within the PLZ8,-1,unknown
KBA13_TOYOTA,share of TOYOTA within the PLZ8,0,none
KBA13_TOYOTA,share of TOYOTA within the PLZ8,1,very low
KBA13_TOYOTA,share of TOYOTA within the PLZ8,2,low
KBA13_TOYOTA,share of TOYOTA within the PLZ8,3,average
KBA13_TOYOTA,share of TOYOTA within the PLZ8,4,high
KBA13_TOYOTA,share of TOYOTA within the PLZ8,5,very high
KBA13_VORB_0,share of cars with no preowner - PLZ8,-1,unknown
KBA13_VORB_0,share of cars with no preowner - PLZ8,0,none
KBA13_VORB_0,share of cars with no preowner - PLZ8,1,very low
KBA13_VORB_0,share of cars with no preowner - PLZ8,2,low
KBA13_VORB_0,share of cars with no preowner - PLZ8,3,average
KBA13_VORB_0,share of cars with no preowner - PLZ8,4,high
KBA13_VORB_0,share of cars with no preowner - PLZ8,5,very high
KBA13_VORB_1,share of cars with 1 preowner - PLZ8,-1,unknown
KBA13_VORB_1,share of cars with 1 preowner - PLZ8,0,none
KBA13_VORB_1,share of cars with 1 preowner - PLZ8,1,very low
KBA13_VORB_1,share of cars with 1 preowner - PLZ8,2,low
KBA13_VORB_1,share of cars with 1 preowner - PLZ8,3,average
KBA13_VORB_1,share of cars with 1 preowner - PLZ8,4,high
KBA13_VORB_1,share of cars with 1 preowner - PLZ8,5,very high
KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,-1,unknown
KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,0,none
KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,1,very low
KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,2,low
KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,3,average
KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,4,high
KBA13_VORB_1_2,share of cars with 1 or 2 preowner - PLZ8,5,very high
KBA13_VORB_2,share of cars with 2 preowner - PLZ8,-1,unknown
KBA13_VORB_2,share of cars with 2 preowner - PLZ8,0,none
KBA13_VORB_2,share of cars with 2 preowner - PLZ8,1,very low
KBA13_VORB_2,share of cars with 2 preowner - PLZ8,2,low
KBA13_VORB_2,share of cars with 2 preowner - PLZ8,3,average
KBA13_VORB_2,share of cars with 2 preowner - PLZ8,4,high
KBA13_VORB_2,share of cars with 2 preowner - PLZ8,5,very high
KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,-1,unknown
KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,0,none
KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,1,very low
KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,2,low
KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,3,average
KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,4,high
KBA13_VORB_3,share of cars with 3 or more preowner - PLZ8,5,very high
KBA13_VW,share of VOLKSWAGEN within the PLZ8,-1,unknown
KBA13_VW,share of VOLKSWAGEN within the PLZ8,0,none
KBA13_VW,share of VOLKSWAGEN within the PLZ8,1,very low
KBA13_VW,share of VOLKSWAGEN within the PLZ8,2,low
KBA13_VW,share of VOLKSWAGEN within the PLZ8,3,average
KBA13_VW,share of VOLKSWAGEN within the PLZ8,4,high
KBA13_VW,share of VOLKSWAGEN within the PLZ8,5,very high
KKK,purchasing power,"-1, 0",unknown
KKK,purchasing power,1,very high
KKK,purchasing power,2,high
KKK,purchasing power,3,average
KKK,purchasing power,4,low
KONSUMNAEHE,distance from a building to PoS (Point of Sale),1,"building is located in a 125 x 125m-grid cell (RA1), which is a consumption cell"
KONSUMNAEHE,distance from a building to PoS (Point of Sale),2,"building is located in a 250 x 250m-grid cell, which includes at least one RA1-consumption cell"
KONSUMNAEHE,distance from a building to PoS (Point of Sale),3,"building is located in a 500 x 500m-grid cell, which includes at least one RA1-consumption cell"
KONSUMNAEHE,distance from a building to PoS (Point of Sale),4,"building is located in a 1 x 1km-grid cell, which includes at least one RA1-consumption cell"
KONSUMNAEHE,distance from a building to PoS (Point of Sale),5,"building is located in a 2 x 2km-grid cell, which includes at least one RA1-consumption cell"
KONSUMNAEHE,distance from a building to PoS (Point of Sale),6,"building is located in a 10 x 10km-grid cell, which includes at least one RA1-consumption cell"
KONSUMNAEHE,distance from a building to PoS (Point of Sale),7,building is not located in a 10 x 10km-range to a a consumption cell
LP_FAMILIE_FEIN,familytyp fine,1,single 
LP_FAMILIE_FEIN,familytyp fine,2,couple
LP_FAMILIE_FEIN,familytyp fine,3,young single parent 
LP_FAMILIE_FEIN,familytyp fine,4,single parent with teenager
LP_FAMILIE_FEIN,familytyp fine,5,single parent with child of full age
LP_FAMILIE_FEIN,familytyp fine,6,young family 
LP_FAMILIE_FEIN,familytyp fine,7,family with teenager 
LP_FAMILIE_FEIN,familytyp fine,8,family with child of full age
LP_FAMILIE_FEIN,familytyp fine,9,shared flat
LP_FAMILIE_FEIN,familytyp fine,10,two-generational household
LP_FAMILIE_FEIN,familytyp fine,11,multi-generational household
LP_FAMILIE_GROB,familytyp rough,1,single 
LP_FAMILIE_GROB,familytyp rough,2,couple
LP_FAMILIE_GROB,familytyp rough,3,couple
LP_FAMILIE_GROB,familytyp rough,4,
LP_FAMILIE_GROB,familytyp rough,5,
LP_FAMILIE_GROB,familytyp rough,6,0
LP_FAMILIE_GROB,familytyp rough,7,
LP_FAMILIE_GROB,familytyp rough,8,
LP_FAMILIE_GROB,familytyp rough,9,0
LP_FAMILIE_GROB,familytyp rough,10,
LP_FAMILIE_GROB,familytyp rough,11,
LP_LEBENSPHASE_FEIN,lifestage fine ,1,single low-income earners of younger age
LP_LEBENSPHASE_FEIN,lifestage fine ,2,single low-income earners of middle age
LP_LEBENSPHASE_FEIN,lifestage fine ,3,single average earners of younger age 
LP_LEBENSPHASE_FEIN,lifestage fine ,4,single average earners of middle age
LP_LEBENSPHASE_FEIN,lifestage fine ,5,single low-income earners of advanced age
LP_LEBENSPHASE_FEIN,lifestage fine ,6,single low-income earners at retirement age 
LP_LEBENSPHASE_FEIN,lifestage fine ,7,single average earners of advanced age
LP_LEBENSPHASE_FEIN,lifestage fine ,8,single average earners at retirement age
LP_LEBENSPHASE_FEIN,lifestage fine ,9,single independant persons
LP_LEBENSPHASE_FEIN,lifestage fine ,10,wealthy single homeowners
LP_LEBENSPHASE_FEIN,lifestage fine ,11,single homeowners of advanced age
LP_LEBENSPHASE_FEIN,lifestage fine ,12,single homeowners at retirement age
LP_LEBENSPHASE_FEIN,lifestage fine ,13,single top earners of higher age 
LP_LEBENSPHASE_FEIN,lifestage fine ,14,low-income- and average earner-couples of younger age
LP_LEBENSPHASE_FEIN,lifestage fine ,15,low-income earner-couples of higher age
LP_LEBENSPHASE_FEIN,lifestage fine ,16,average earner-couples of higher age 
LP_LEBENSPHASE_FEIN,lifestage fine ,17,independant couples
LP_LEBENSPHASE_FEIN,lifestage fine ,18,wealthy homeowner-couples of younger age 
LP_LEBENSPHASE_FEIN,lifestage fine ,19,homeowner-couples of higher age
LP_LEBENSPHASE_FEIN,lifestage fine ,20,top earner-couples of higher age
LP_LEBENSPHASE_FEIN,lifestage fine ,21,single parent low-income earners
LP_LEBENSPHASE_FEIN,lifestage fine ,22,single parent average earners
LP_LEBENSPHASE_FEIN,lifestage fine ,23,single parent high-income earners
LP_LEBENSPHASE_FEIN,lifestage fine ,24,low-income earner-families
LP_LEBENSPHASE_FEIN,lifestage fine ,25,average earner-families 
LP_LEBENSPHASE_FEIN,lifestage fine ,26,independant families
LP_LEBENSPHASE_FEIN,lifestage fine ,27,homeowner-families
LP_LEBENSPHASE_FEIN,lifestage fine ,28,top earner-families
LP_LEBENSPHASE_FEIN,lifestage fine ,29,low-income earners of younger age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,30,average earners of younger age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,31,low-income earners of higher age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,32,average earners of higher age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,33,independant persons of younger age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,34,homeowners of younger age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,35,top earners of younger age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,36,independant persons of higher age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,37,homeowners of advanced age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,38,homeowners at retirement age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,39,top earners of middle age from mulitperson households
LP_LEBENSPHASE_FEIN,lifestage fine ,40,top earners at retirement age from mulitperson households
LP_LEBENSPHASE_GROB,lifestage rough,1,single low-income- and average earners of younger age 
LP_LEBENSPHASE_GROB,lifestage rough,2,single low-income- and average earners of higher age 
LP_LEBENSPHASE_GROB,lifestage rough,3,single high-income earners
LP_LEBENSPHASE_GROB,lifestage rough,4,single low-income- and average earner-couples 
LP_LEBENSPHASE_GROB,lifestage rough,5,single high-income earner-couples
LP_LEBENSPHASE_GROB,lifestage rough,6,single parents
LP_LEBENSPHASE_GROB,lifestage rough,7,single low-income- and average earner-families
LP_LEBENSPHASE_GROB,lifestage rough,8,high-income earner-families
LP_LEBENSPHASE_GROB,lifestage rough,9,average earners of younger age from mulitperson households
LP_LEBENSPHASE_GROB,lifestage rough,10,low-income- and average earners of higher age from mulitperson households
LP_LEBENSPHASE_GROB,lifestage rough,11,high-income earners of younger age from multiperson households
LP_LEBENSPHASE_GROB,lifestage rough,12,high-income earners of higher age from multiperson households
LP_STATUS_FEIN,social status fine,1,typical low-income earners
LP_STATUS_FEIN,social status fine,2,orientationseeking low-income earners
LP_STATUS_FEIN,social status fine,3,aspiring low-income earners 
LP_STATUS_FEIN,social status fine,4,villagers
LP_STATUS_FEIN,social status fine,5,minimalistic high-income earners
LP_STATUS_FEIN,social status fine,6,independant workers
LP_STATUS_FEIN,social status fine,7,title holder-households
LP_STATUS_FEIN,social status fine,8,new houseowners
LP_STATUS_FEIN,social status fine,9,houseowners
LP_STATUS_FEIN,social status fine,10,top earners 
LP_STATUS_GROB,social status rough,1,top earners 
LP_STATUS_GROB,social status rough,2,
LP_STATUS_GROB,social status rough,3,0
LP_STATUS_GROB,social status rough,4,
LP_STATUS_GROB,social status rough,5,
LP_STATUS_GROB,social status rough,6,0
LP_STATUS_GROB,social status rough,7,
LP_STATUS_GROB,social status rough,8,0
LP_STATUS_GROB,social status rough,9,
LP_STATUS_GROB,social status rough,10,top earners 
MIN_GEBAEUDEJAHR,year the building was first mentioned in our database,,numeric value
MOBI_REGIO,moving patterns,1,very high mobility
MOBI_REGIO,moving patterns,2,high mobility
MOBI_REGIO,moving patterns,3,middle mobility
MOBI_REGIO,moving patterns,4,low mobility
MOBI_REGIO,moving patterns,5,very low mobility 
MOBI_REGIO,moving patterns,6,none
NATIONALITAET_KZ,nationaltity (scored by prename analysis),"-1, 0",unknown
NATIONALITAET_KZ,nationaltity (scored by prename analysis),1,sounding german
NATIONALITAET_KZ,nationaltity (scored by prename analysis),2,sounding foreign
NATIONALITAET_KZ,nationaltity (scored by prename analysis),3,assimilated names
ONLINE_AFFINITAET,online affinity,0,none
ONLINE_AFFINITAET,online affinity,1,low
ONLINE_AFFINITAET,online affinity,2,middle
ONLINE_AFFINITAET,online affinity,3,high
ONLINE_AFFINITAET,online affinity,4,very high
ONLINE_AFFINITAET,online affinity,5,highest  
ORTSGR_KLS9,size of the community,-1,unknown
ORTSGR_KLS9,'- classified number of inhabitants,1,<= 2.000 inhabitants
ORTSGR_KLS9,'- classified number of inhabitants,2,2.001 to 5.000 inhabitants
ORTSGR_KLS9,'- classified number of inhabitants,3,5.001 to 10.000 inhabitants
ORTSGR_KLS9,'- classified number of inhabitants,4,10.001 to 20.000 inhabitants
ORTSGR_KLS9,'- classified number of inhabitants,5,20.001 to 50.000 inhabitants
ORTSGR_KLS9,'- classified number of inhabitants,6,50.001 to 100.000 inhabitants
ORTSGR_KLS9,'- classified number of inhabitants,7,100.001 to 300.000 inhabitants
ORTSGR_KLS9,'- classified number of inhabitants,8,300.001 to 700.000 inhabitants
ORTSGR_KLS9,'- classified number of inhabitants,9,> 700.000  inhabitants
OST_WEST_KZ,flag indicating the former GDR/FRG,-1,unknown
OST_WEST_KZ,flag indicating the former GDR/FRG,O,East (GDR)
OST_WEST_KZ,flag indicating the former GDR/FRG,W,West (FRG)
PLZ8_ANTG1,number of 1-2 family houses in the PLZ8,-1,unknown
PLZ8_ANTG1,number of 1-2 family houses in the PLZ8,0,none
PLZ8_ANTG1,number of 1-2 family houses in the PLZ8,1,low share
PLZ8_ANTG1,number of 1-2 family houses in the PLZ8,2,average share
PLZ8_ANTG1,number of 1-2 family houses in the PLZ8,3,high share
PLZ8_ANTG1,number of 1-2 family houses in the PLZ8,4,very high share
PLZ8_ANTG2,number of 3-5 family houses in the PLZ8,-1,unknown
PLZ8_ANTG2,number of 3-5 family houses in the PLZ8,0,none
PLZ8_ANTG2,number of 3-5 family houses in the PLZ8,1,low share
PLZ8_ANTG2,number of 3-5 family houses in the PLZ8,2,average share
PLZ8_ANTG2,number of 3-5 family houses in the PLZ8,3,high share
PLZ8_ANTG2,number of 3-5 family houses in the PLZ8,4,very high share
PLZ8_ANTG3,number of 6-10 family houses in the PLZ8,-1,unknown
PLZ8_ANTG3,number of 6-10 family houses in the PLZ8,0,none
